timestamp,close,high,low,open,volume,log_return,rolling_volatility,target_volatility
2025-10-22 10:30:00-04:00,669.3599853515625,669.7899780273438,668.7899780273438,669.4500122070312,1524527,-0.00010458298229231836,0.0007777308791103758,0.0006750172282729568
2025-10-22 10:35:00-04:00,669.0499877929688,669.7000122070312,668.8400268554688,669.0399780273438,991751,-0.00046323259742122376,0.0006750172282729568,0.000627130696896772
2025-10-22 10:40:00-04:00,668.5599975585938,669.5399780273438,668.5,669.0599975585938,895111,-0.0007326354642354637,0.000627130696896772,0.0006639116703549828
2025-10-22 10:45:00-04:00,668.8699951171875,668.9600219726562,668.0900268554688,668.5700073242188,1626968,0.00046357202372156745,0.0006639116703549828,0.0006624894271380907
2025-10-22 10:50:00-04:00,669.1900024414062,669.27001953125,668.780029296875,668.8699951171875,736432,0.00047831536837476753,0.0006624894271380907,0.0008036559538544721
2025-10-22 10:55:00-04:00,670.0700073242188,670.1300048828125,668.9099731445312,669.0399780273438,871817,0.0013141660365357823,0.0008036559538544721,0.0008111609894853142
2025-10-22 11:00:00-04:00,670.2550048828125,670.4099731445312,669.7999877929688,670.0700073242188,924274,0.0002760488061980778,0.0008111609894853142,0.0008161718475885025
2025-10-22 11:05:00-04:00,669.9550170898438,670.375,669.739990234375,670.27001953125,628516,-0.0004476728170369899,0.0008161718475885025,0.0008074912706525043
2025-10-22 11:10:00-04:00,669.5698852539062,669.9500122070312,669.2255859375,669.9500122070312,644797,-0.000575027527858285,0.0008074912706525043,0.000768378376680082
2025-10-22 11:15:00-04:00,669.3900146484375,669.7999877929688,669.239990234375,669.5599975585938,472952,-0.00026867213359248367,0.000768378376680082,0.0008295918309596912
2025-10-22 11:20:00-04:00,668.3156127929688,669.510009765625,667.5999755859375,669.3699951171875,1285484,-0.0016063356009770723,0.0008295918309596912,0.0007515566219728426
2025-10-22 11:25:00-04:00,667.8499755859375,668.5399780273438,667.780029296875,668.2999877929688,705590,-0.0006969753299001748,0.0007515566219728426,0.0007591719413296285
2025-10-22 11:30:00-04:00,667.969970703125,668.47998046875,667.3900146484375,667.8599853515625,940081,0.00017965762203748785,0.0007591719413296285,0.0007716278828050611
2025-10-22 11:35:00-04:00,668.2550048828125,668.4000244140625,667.655029296875,667.989990234375,561925,0.0004266260386065678,0.0007716278828050611,0.0007607952457981048
2025-10-22 11:40:00-04:00,668.5800170898438,668.8355712890625,668.0399780273438,668.2550048828125,527493,0.0004862413208703714,0.0007607952457981048,0.0008082698967220466
2025-10-22 11:45:00-04:00,669.27001953125,669.3082275390625,668.5499877929688,668.5900268554688,727232,0.001031509487161701,0.0008082698967220466,0.0008021877162903186
