timestamp,close,high,low,open,volume,log_return,rolling_volatility,target_volatility,sentiment_pos,sentiment_neg,sentiment_neu
2025-10-22 10:30:00-04:00,669.3599853515625,669.7899780273438,668.7899780273438,669.4500122070312,1524527,-0.0001045829822923,0.0007777308791103,0.0006750172282729,0.0,0.0,0.0
2025-10-22 10:35:00-04:00,669.0499877929688,669.7000122070312,668.8400268554688,669.0399780273438,991751,-0.0004632325974212,0.0006750172282729,0.0006271306968967,0.0,0.0,0.0
2025-10-22 10:40:00-04:00,668.5599975585938,669.5399780273438,668.5,669.0599975585938,895111,-0.0007326354642354,0.0006271306968967,0.0006639116703549,0.0,0.0,0.0
2025-10-22 10:45:00-04:00,668.8699951171875,668.9600219726562,668.0900268554688,668.5700073242188,1626968,0.0004635720237215,0.0006639116703549,0.000662489427138,0.0,0.0,0.0
2025-10-22 10:50:00-04:00,669.1900024414062,669.27001953125,668.780029296875,668.8699951171875,736432,0.0004783153683747,0.000662489427138,0.0008036559538544,0.0,0.0,0.0
2025-10-22 10:55:00-04:00,670.0700073242188,670.1300048828125,668.9099731445312,669.0399780273438,871817,0.0013141660365357,0.0008036559538544,0.0008111609894853,0.0,0.0,0.0
2025-10-22 11:00:00-04:00,670.2550048828125,670.4099731445312,669.7999877929688,670.0700073242188,924274,0.000276048806198,0.0008111609894853,0.0008161718475885,0.0,0.0,0.0
2025-10-22 11:05:00-04:00,669.9550170898438,670.375,669.739990234375,670.27001953125,628516,-0.0004476728170369,0.0008161718475885,0.0008074912706525,0.0,0.0,0.0
2025-10-22 11:10:00-04:00,669.5698852539062,669.9500122070312,669.2255859375,669.9500122070312,644797,-0.0005750275278582,0.0008074912706525,0.00076837837668,0.0,0.0,0.0
2025-10-22 11:15:00-04:00,669.3900146484375,669.7999877929688,669.239990234375,669.5599975585938,472952,-0.0002686721335924,0.00076837837668,0.0008295918309596,0.0,0.0,0.0
2025-10-22 11:20:00-04:00,668.3156127929688,669.510009765625,667.5999755859375,669.3699951171875,1285484,-0.001606335600977,0.0008295918309596,0.0007515566219728,0.0,0.0,0.0
2025-10-22 11:25:00-04:00,667.8499755859375,668.5399780273438,667.780029296875,668.2999877929688,705590,-0.0006969753299001,0.0007515566219728,0.0007591719413296,0.0,0.0,0.0
2025-10-22 11:30:00-04:00,667.969970703125,668.47998046875,667.3900146484375,667.8599853515625,940081,0.0001796576220374,0.0007591719413296,0.000771627882805,0.0,0.0,0.0
2025-10-22 11:35:00-04:00,668.2550048828125,668.4000244140625,667.655029296875,667.989990234375,561925,0.0004266260386065,0.000771627882805,0.0007607952457981,0.0,0.0,0.0
2025-10-22 11:40:00-04:00,668.5800170898438,668.8355712890625,668.0399780273438,668.2550048828125,527493,0.0004862413208703,0.0007607952457981,0.000808269896722,0.0,0.0,0.0
2025-10-22 11:45:00-04:00,669.27001953125,669.3082275390625,668.5499877929688,668.5900268554688,727232,0.0010315094871617,0.000808269896722,0.0008021877162903,0.0,0.0,0.0
2025-10-22 11:50:00-04:00,669.489990234375,669.7000122070312,669.1599731445312,669.2899780273438,615062,0.000328618577639,0.0008021877162903,0.0007181894680954,0.0,0.0,0.0
2025-10-22 11:55:00-04:00,669.010009765625,669.7650146484375,668.9000244140625,669.530029296875,552549,-0.0007171916164717,0.0007181894680954,0.0007378286577314,0.0,0.0,0.0
2025-10-22 12:00:00-04:00,668.405029296875,669.2000122070312,668.0999755859375,669.0,563197,-0.0009047012219004,0.0007378286577314,0.0007373366229082,0.0,0.0,0.0
2025-10-22 12:05:00-04:00,668.4099731445312,668.8599853515625,668.260009765625,668.405029296875,365409,7.396457471202831e-06,0.0007373366229082,0.0007277401327301,0.0,0.0,0.0
2025-10-22 12:10:00-04:00,668.2550048828125,668.4299926757812,667.8200073242188,668.3900146484375,386943,-0.0002318730047701,0.0007277401327301,0.0007284887071488,0.0,0.0,0.0
2025-10-22 12:15:00-04:00,668.260009765625,668.75,668.1400146484375,668.239990234375,403620,7.489452430666756e-06,0.0007284887071488,0.0006601155337099,0.0,0.0,0.0
2025-10-22 12:20:00-04:00,667.4600219726562,668.260009765625,667.1500244140625,668.1900024414062,596914,-0.0011978376749812,0.0006601155337099,0.0006390193548081,0.0,0.0,0.0
2025-10-22 12:25:00-04:00,667.6199951171875,668.030029296875,667.3800048828125,667.4550170898438,416536,0.0002396457789033,0.0006390193548081,0.0006947491835879,0.0,0.0,0.0
2025-10-22 12:30:00-04:00,666.9400024414062,666.97998046875,664.010009765625,665.25,5251764,-0.0010190515763562,0.0006947491835879,0.0006942481326291,0.0,0.0,0.0
2025-10-22 12:35:00-04:00,667.219970703125,667.5599975585938,666.4600219726562,666.9400024414062,2103040,0.0004196921980329,0.0006942481326291,0.0006678758846545,0.0,0.0,0.0
2025-10-22 12:40:00-04:00,667.1900024414062,667.8300170898438,666.72998046875,667.27001953125,1207735,-4.491612372046552e-05,0.0006678758846545,0.0005558066153635,0.0,0.0,0.0
2025-10-22 12:45:00-04:00,666.8099975585938,667.8200073242188,666.5999755859375,667.2000122070312,905274,-0.0005697224783974,0.0005558066153635,0.0007166153763658,0.0,0.0,0.0
2025-10-22 12:50:00-04:00,667.7100219726562,667.739990234375,666.4400024414062,666.8200073242188,837245,0.0013488363416747,0.0007166153763658,0.0007072183597642,0.0,0.0,0.0
2025-10-22 12:55:00-04:00,667.3499755859375,668.219970703125,667.1500244140625,667.7000122070312,879311,-0.0005393711085732,0.0007072183597642,0.0006991659956778,0.0,0.0,0.0
2025-10-22 13:00:00-04:00,666.8099975585938,667.6500244140625,666.5700073242188,667.2999877929688,628095,-0.0008094652331014,0.0006991659956778,0.0007393229102531,0.0,0.0,0.0
2025-10-22 13:05:00-04:00,667.239990234375,667.260009765625,666.3900146484375,666.7999877929688,471739,0.000644642546541,0.0007393229102531,0.000862528526117,0.0,0.0,0.0
2025-10-22 13:10:00-04:00,666.1199951171875,667.364990234375,666.0900268554688,667.219970703125,725993,-0.0016799594901632,0.000862528526117,0.0008588256722677,0.0,0.0,0.0
2025-10-22 13:15:00-04:00,665.8499755859375,666.4000244140625,665.719970703125,666.1400146484375,605989,-0.0004054438776969,0.0008588256722677,0.0008621371005293,0.0,0.0,0.0
2025-10-22 13:20:00-04:00,665.030029296875,665.9000244140625,664.9600219726562,665.8400268554688,667337,-0.0012321868084227,0.0008621371005293,0.0008874343729377,0.0,0.0,0.0
2025-10-22 13:25:00-04:00,665.4199829101562,665.5700073242188,664.72998046875,665.0900268554688,932410,0.0005861980846631,0.0008874343729377,0.0008731867562497,0.0,0.0,0.0
2025-10-22 13:30:00-04:00,665.6799926757812,665.75,664.8599853515625,665.4099731445312,571098,0.0003906690311785,0.0008731867562497,0.0010004373579045,0.0,0.0,0.0
2025-10-22 13:35:00-04:00,664.3400268554688,665.8599853515625,664.3200073242188,665.6599731445312,527292,-0.0020149565480155,0.0010004373579045,0.0010155203375804,0.0,0.0,0.0
2025-10-22 13:40:00-04:00,663.6199951171875,664.5,663.469970703125,664.3400268554688,959803,-0.0010844178995275,0.0010155203375804,0.0011732096837301,0.0,0.0,0.0
2025-10-22 13:45:00-04:00,664.6849975585938,664.77001953125,663.6099853515625,663.625,1784837,0.0016035514064749,0.0011732096837301,0.0011400132336989,0.0,0.0,0.0
2025-10-22 13:50:00-04:00,663.4299926757812,664.72998046875,663.2999877929688,664.6699829101562,731269,-0.001889904512164,0.0011400132336989,0.0013505136874857,0.0,0.0,0.0
